run_dir,calibration_tau,model,threshold_mode,jitter,realized_nn_median,target_poison_ratio,n_seeds,damage,delta_fpr_mean,delta_fpr_std,delta_tpr_mean,delta_tpr_std,sigma_control,clears_2sigma
cicids,0.0,rf,fixed,0.01,0.01394801833031802,0.05,5,0.033960000000000004,0.033960000000000004,0.015618794767843003,0.01846478074086082,0.008463645533217426,0.014823297644627679,True
cicids,0.0,rf,fixed,0.02,0.022169130237940593,0.05,5,0.03327,0.03327,0.013557221322970285,0.02243657291075627,0.011668602471810601,0.014823297644627679,True
cicids,0.0,rf,fixed,0.03,0.03093057459041746,0.05,5,0.02937,0.02937,0.004982011390994608,0.0333144200372862,0.018735826746900934,0.014823297644627679,False
cicids,0.0,rf,fixed,0.05,0.048301587178887766,0.05,5,0.03293,0.03293,0.004194207314857008,0.029569587419956234,0.022915656365693274,0.014823297644627679,True
cicids,0.0,rf,fixed,0.07,0.06531899891207278,0.05,5,0.031345,0.031345,0.01670131357109374,0.03637837399691981,0.014266650748756214,0.014823297644627679,True
cicids,0.0,rf,fixed,0.1,0.09049369262974472,0.05,5,0.03505,0.03505,0.01552043008424702,0.039328848180270715,0.014566754011342603,0.014823297644627679,True
cicids,0.0,rf,fixed,0.2,0.172613432715349,0.05,5,0.03758,0.03758,0.013556068751669861,0.025224933127988968,0.014117348275536085,0.014823297644627679,True
cicids,0.0,rf,fixed,0.3,0.2542523958131831,0.05,5,0.04696499999999999,0.04696499999999999,0.012242364967603279,0.017556942530599008,0.015238669699631495,0.014823297644627679,True
cicids,0.0,rf,fixed,0.7,0.5599149552431368,0.05,5,0.038375,0.038375,0.00520315409151026,0.017394828564480803,0.01133720351445978,0.014823297644627679,True
cicids,0.0,rf,fixed,1.5,1.0591578042930059,0.05,5,0.03102,0.03102,0.008233191209974415,-0.006030639539596328,0.010817175108497432,0.014823297644627679,True
cicids,0.0,rf,fixed,0.0,0.010522984119221288,0.1,5,0.78708,0.78708,0.025432296150760782,0.08327794439490963,0.005676477875523344,0.014823297644627679,True
cicids,0.0,rf,fixed,0.01,0.013918432479111943,0.1,5,0.02833,0.02833,0.01672126639940887,0.02263110967009807,0.012950410030625734,0.014823297644627679,False
cicids,0.0,rf,fixed,0.02,0.022056280869158444,0.1,5,0.026674999999999997,0.026674999999999997,0.010462776280701032,0.019340196157898993,0.01064111800934834,0.014823297644627679,False
cicids,0.0,rf,fixed,0.03,0.03093754153979918,0.1,5,0.03149,0.03149,0.016349145619878738,0.027575585636702593,0.0056761306301568405,0.014823297644627679,True
cicids,0.0,rf,fixed,0.05,0.04831208956310181,0.1,5,0.029185,0.029185,0.012814940011564628,0.02619761692469804,0.0120934465293585,0.014823297644627679,False
cicids,0.0,rf,fixed,0.07,0.06526996504470065,0.1,5,0.027415000000000002,0.027415000000000002,0.009233678167447683,0.03183918294561074,0.018227316780720437,0.014823297644627679,False
cicids,0.0,rf,fixed,0.1,0.09033014239475098,0.1,5,0.03195,0.03195,0.016381258346049,0.024300883521115348,0.013496705732609079,0.014823297644627679,True
cicids,0.0,rf,fixed,0.2,0.17262102139585886,0.1,5,0.03573,0.03573,0.010235926313724617,0.030915133338737123,0.011045274343147912,0.014823297644627679,True
cicids,0.0,rf,fixed,0.3,0.25432074795894144,0.1,5,0.04243,0.04243,0.01920080076455146,0.03206614249817623,0.016256684735436053,0.014823297644627679,True
cicids,0.0,rf,fixed,0.7,0.5598887757901366,0.1,5,0.044375,0.044375,0.00902399578900611,-0.00434465429196722,0.010290023576147571,0.014823297644627679,True
cicids,0.0,rf,fixed,1.5,1.0581742146559063,0.1,5,0.031474999999999996,0.031474999999999996,0.014083578646778665,-0.01698954364918539,0.008816339673390657,0.014823297644627679,True
cicids,0.0,rf,fixed,0.0,0.011071405657643656,0.2,5,0.9213850000000001,0.9213850000000001,0.009509281650051177,0.11583042879144041,0.003498151191868369,0.014823297644627679,True
